央视2021.2.4:,#genre#
CCTV-1,http://cctvalih5ca.v.myalicdn.com/live/cctv1_2/index.m3u8
CCTV-2,http://cctvalih5ca.v.myalicdn.com/live/cctv2_2/index.m3u8
CCTV-3,http://cctvalih5ca.v.myalicdn.com/live/cctv3_2/index.m3u8
CCTV-4,http://cctvalih5ca.v.myalicdn.com/live/cctv4_2/index.m3u8
CCTV-5,http://cctvalih5ca.v.myalicdn.com/live/cctv5_2/index.m3u8
CCTV-6,http://cctvalih5ca.v.myalicdn.com/live/cctv6_2/index.m3u8
CCTV-7,http://cctvalih5ca.v.myalicdn.com/live/cctv7_2/index.m3u8
CCTV-8,http://cctvalih5ca.v.myalicdn.com/live/cctv8_2/index.m3u8
CCTV-9,http://cctvalih5ca.v.myalicdn.com/live/cctvjilu_2/index.m3u8
CCTV-10,http://cctvalih5ca.v.myalicdn.com/live/cctv10_2/index.m3u8
CCTV-11,http://cctvalih5ca.v.myalicdn.com/live/cctv11_2/index.m3u8
CCTV-12,http://cctvalih5ca.v.myalicdn.com/live/cctv12_2/index.m3u8
CCTV-13,http://cctvalih5ca.v.myalicdn.com/live/cctv13_2/index.m3u8
